project	language code	Total number of edits	Total number of unique editors	Total number of pages	Average number of edits per month (last 3 months)	Average number of editors per month (last 3 months)	Total number of bytes added (last 30 days)	Total number of bytes removed (last 30 days)	prefix
Wikipedia	goh	1199	52	499	216	10	0	-9	Wp/goh
Wikipedia	ksw	1197	31	371	12	2	0	0	Wp/ksw
Wikinews	jv	1191	43	286	57	6	71	-52	Wn/jv
Wikinews	hi	1139	64	307	97	9	188	-188	Wn/hi
Wikivoyage	lv	1129	33	330	150	6	421	-669	Wy/lv
Wikipedia	ote	1097	55	147	39	5	0	0	Wp/ote
Wikivoyage	bcc	1091	15	1067	3	2	7	0	Wy/bcc
Wikipedia	frs	1087	26	224	29	5	0	0	Wp/frs
Wikipedia	wym	1083	73	210	65	12	0	-6	Wp/wym
Wiktionary	ht	1082	59	440	26	6	318	0	Wt/ht
Wiktionary	vep	1080	31	490	235	7	0	-9	Wt/vep
Wikipedia	hsn	1077	100	166	54	11	0	-6	Wp/hsn
Wikipedia	bdr	1063	37	402	153	9	460	-445	Wp/bdr
Wikinews	nan	1050	26	317	25	3	0	0	Wn/nan
Wikipedia	yai	1042	80	308	306	18	17	-1199	Wp/yai
Wiktionary	ryu	1038	17	553	22	3	0	0	Wt/ryu
Wiktionary	cdo	1020	13	494	6	1	0	-3	Wt/cdo
Wiktionary	pcd	1014	28	823	82	6	0	0	Wt/pcd
Wikipedia	hz	1008	151	126	85	21	0	-3	Wp/hz
Wikipedia	yrk	996	100	158	98	16	60	0	Wp/yrk
Wikipedia	mnp	996	64	335	219	15	0	-27	Wp/mnp
Wikiquote	ms	981	77	271	30	8	5221	-6791	Wq/ms
Wikinews	lad	957	13	172	3	3	0	0	Wn/lad
Wiktionary	zgh	946	15	132	3	1	0	0	Wt/zgh
Wikinews	diq	938	19	376	97	3	0	0	Wn/diq
Wikipedia	bnn	934	62	246	30	6	8402	-1171	Wp/bnn
Wiktionary	ksw	928	11	558	2	1	0	0	Wt/ksw
Wikipedia	dis	928	8	426	23	1	0	-5352	Wp/dis
Wikiquote	ba	923	41	45	168	9	0	0	Wq/ba
Wiktionary	myv	914	21	418	63	2	0	0	Wt/myv
Wikipedia	sma	911	89	234	94	9	0	0	Wp/sma
Wiktionary	pap	901	14	422	135	2	15	0	Wt/pap
Wikipedia	dtp	895	42	273	112	9	43	0	Wp/dtp
Wikinews	ne	887	39	206	36	4	0	0	Wn/ne
Wiktionary	yrl	880	17	220	26	1	0	0	Wt/yrl
Wiktionary	ckb	878	26	469	123	4	163	0	Wt/ckb
Wikipedia	osi	874	72	264	40	7	0	-1	Wp/osi
Wikinews	tg	856	25	469	5	3	0	0	Wn/tg
Wikivoyage	ur	852	30	317	107	4	0	0	Wy/ur
Wikibooks	co	845	231	29	58	18	0	0	Wb/co
Wikipedia	blc	827	18	202	16	3	0	-129	Wp/blc
Wikibooks	diq	826	25	155	99	3	0	0	Wb/diq
Wiktionary	kab	825	46	473	94	5	22	-46	Wt/kab
Wikipedia	gpe	821	15	221	34	3	116767	-3614	Wp/gpe
Wikipedia	cho	817	100	126	41	14	0	-3	Wp/cho
Wikibooks	lad	815	15	478	80	2	0	0	Wb/lad
Wikipedia	non	815	87	153	39	11	0	0	Wp/non
Wikivoyage	mr	808	26	139	104	6	0	0	Wy/mr
Wikivoyage	ta	807	43	298	186	9	537	0	Wy/ta
Wikipedia	frc	801	91	184	51	8	0	0	Wp/frc
Wikipedia	rej	799	56	219	39	5	43	0	Wp/rej
Wikipedia	mh	798	148	145	104	18	789	-61	Wp/mh
Wikibooks	lv	792	64	181	174	9	0	0	Wb/lv
Wikipedia	tsu	788	57	201	59	8	437	-20	Wp/tsu
Wikinews	scn	784	25	192	8	2	0	0	Wn/scn
Wikipedia	wls	781	50	185	63	6	0	0	Wp/wls
Wikipedia	mxt	774	51	150	65	7	0	0	Wp/mxt
Wikipedia	cps	772	38	135	129	7	0	0	Wp/cps
Wikipedia	mak	769	38	173	28	5	8112	-2318	Wp/mak
Wikipedia	ann	766	32	150	39	5	6758	0	Wp/ann
Wiktionary	kiu	763	18	244	94	4	1	0	Wt/kiu
Wiktionary	guc	760	31	401	35	3	0	0	Wt/guc
Wikivoyage	az	754	39	134	27	5	0	0	Wy/az
Wikipedia	kri	753	87	114	31	8	0	-3	Wp/kri
Wikipedia	aln	752	113	139	116	17	0	-6	Wp/aln
Wikiquote	azb	749	17	282	23	2	0	0	Wq/azb
Wiktionary	crh	727	11	191	5	2	0	0	Wt/crh
Wikibooks	as	721	37	180	111	5	0	0	Wb/as
Wikipedia	efi	706	26	89	330	7	17452	-201	Wp/efi
Wikipedia	ain	700	117	132	80	14	9639	-129	Wp/ain
Wiktionary	egl	699	13	354	6	2	139	-14	Wt/egl
Wikipedia	chn	696	71	138	62	7	1	-99	Wp/chn
Wikivoyage	hu	690	33	227	108	5	0	0	Wy/hu
Wiktionary	dty	689	11	305	118	2	0	0	Wt/dty
Wikipedia	ojb	683	36	178	169	9	191	0	Wp/ojb
Wikipedia	sjo	682	23	113	24	5	0	0	Wp/sjo
Wikipedia	mvf	677	64	119	53	10	6760	-6	Wp/mvf
Wikipedia	wba	671	13	241	65	2	0	0	Wp/wba
Wiktionary	bho	665	13	351	58	4	0	0	Wt/bho
Wikinews	yue	661	42	198	62	5	1	0	Wn/yue
Wikipedia	tsg	660	41	198	64	8	0	0	Wp/tsg
Wikipedia	omp	660	10	499	311	4	23	0	Wp/omp
Wikipedia	kck	654	23	177	31	3	0	0	Wp/kck
Wikipedia	rap	642	48	153	28	5	0	0	Wp/rap
